Feature,Importance
categorical__Drug_Class_Anti-Asthmatic Agents,0.001679495268251185
"categorical__Current_Use_Epilepsies, Myoclonic",0.001668639734126835
"categorical__Drug_Class_Antineoplastic Agents, Phytogenic",0.0016570273829784946
categorical__Target_Protein_UniProt_P08172; P08173; P11229; P20309,0.0016555073862393596
categorical__Current_Use_Depressive disorder,0.0016386088461244955
categorical__Drug_Class_Immunosuppressive Agents,0.0016266618859549985
categorical__Target_Protein_UniProt_Q14524,0.0016227072896451168
categorical__Target_Protein_UniProt_P10275,0.0016176420803225217
categorical__Current_Use_Edema,0.0016126101970939668
categorical__Drug_Class_Hydroxymethylglutaryl-CoA Reductase Inhibitors,0.0016049902295497379
categorical__Target_Protein_UniProt_Q9BQB6,0.0015734523641702637
categorical__Current_Use_Diabetic Nephropathy,0.0015733113220487138
categorical__Target_Protein_UniProt_P35368; Q01959,0.0015687636926294238
categorical__Drug_Class_Angiotensin-Converting Enzyme Inhibitors,0.00156640938703711
categorical__Current_Use_Contact Dermatitis,0.001564368700344847
categorical__Current_Use_Cerebrovascular Disorders,0.0015586028015431323
categorical__Current_Use_Sleeplessness,0.0015580202597958457
categorical__Current_Use_Chloasma,0.0015539917636286178
categorical__Current_Use_Pruritus,0.0015531926078223052
categorical__Drug_Class_Vasoconstrictor Agents,0.0015401806344083671
categorical__Drug_Class_Gout Suppressants,0.001484246907411933
categorical__Drug_Class_Adrenergic alpha-1 Receptor Antagonists,0.0014764164239100992
categorical__Current_Use_Atrial Fibrillation,0.0014449020721480942
categorical__Current_Use_Acromegaly,0.001444114974725623
categorical__Current_Use_Hot flushes,0.0014333990150962586
categorical__Current_Use_Labor Pain,0.001403470935112463
"categorical__Current_Use_Hepatitis C, Chronic",0.0013910869962929387
categorical__Drug_Class_Gastrointestinal Agents,0.0013894636036122223
categorical__Current_Use_Non-24 hour sleep-wake cycle,0.0013878555592824616
categorical__Current_Use_Acute bacterial sinusitis,0.001368669772934739
categorical__Drug_Class_Dietary Supplements,0.0013620859404747088
categorical__Target_Protein_UniProt_P14324,0.0013606053207018346
categorical__Current_Use_Erectile dysfunction,0.0013555532369455105
categorical__Current_Use_Chronic thromboembolic pulmonary hypertension,0.0013496971718551542
categorical__Current_Use_Uterine Fibroids,0.001333610069800151
categorical__Drug_Class_Antifungal Agents,0.00133182353005253
categorical__Drug_Class_Hypnotics and Sedatives,0.00132544775330327
categorical__Current_Use_Alcohol Withdrawal Delirium,0.00132538037231199
categorical__Current_Use_Ankylosing spondylitis,0.0012959072880892322
categorical__Current_Use_Hodgkin Disease,0.001295828033134647
categorical__Target_Protein_UniProt_P11387; Q969P6,0.0012924429544068235
categorical__Target_Protein_UniProt_P03372; P06401,0.00128852754017835
categorical__Current_Use_Chronic pain,0.0012734032569470047
categorical__Target_Protein_UniProt_P08908; P08913; P14416; P18089; P18825; P21728; P21917; P21918; P28221; P28222; P28223; P28335; P35462; P41595,0.0012695476772376533
categorical__Drug_Class_Enzyme Inhibitors,0.0012634971477287636
"categorical__Current_Use_Anemia, Diamond-Blackfan",0.0012545318609659551
categorical__Drug_Class_Corticosteroids,0.0012512775307906207
categorical__Target_Protein_UniProt_P11229,0.0012463672920685388
categorical__Current_Use_Follicular thyroid carcinoma,0.0012424987036842715
categorical__Current_Use_Bladder muscle dysfunction - overactive,0.0012084668861315833
categorical__Target_Protein_UniProt_P08172; P08173; P08908; P08912; P08913; P11229; P14416; P18089; P18825; P20309; P21728; P21917; P21918; P28221; P28222; P28223; P28335; P28566; P34969; P35348; P35367; P35368; P35462; P46098; P50406,0.001207415190451236
categorical__Target_Protein_UniProt_P30556,0.0012060599794567783
categorical__Current_Use_Erosive esophagitis,0.0012047550326979779
categorical__Current_Use_Prostatic Hypertrophy,0.0011953835488355442
categorical__Drug_Class_Antipruritics,0.0011928233898690313
categorical__Current_Use_Arthralgia,0.0011893331187546982
categorical__Current_Use_Infection of skin AND/OR subcutaneous tissue,0.0011830017643586072
categorical__Drug_Class_Sodium Chloride Symporter Inhibitors,0.001167573909557184
categorical__Target_Protein_UniProt_P11473,0.0011605437406215992
categorical__Drug_Class_Vitamin B Complex,0.0011458711154968943
categorical__Drug_Class_Histamine Antagonists,0.0011332793620726957
categorical__Current_Use_Attention deficit hyperactivity disorder,0.0011315861222944586
categorical__Current_Use_Parkinson Disease,0.0011118065560135513
categorical__Current_Use_Osteitis Deformans,0.0011086525452615973
categorical__Drug_Class_Dopamine Agents,0.0011004271611415877
categorical__Current_Use_Bacterial urinary infection,0.001089072743566168
categorical__Current_Use_Hyperprolactinemia,0.0010860507405346534
categorical__Target_Protein_UniProt_Q06432,0.0010823905284289752
categorical__Current_Use_Malignant tumor of colon,0.0010791489729449879
categorical__Current_Use_Congenital Hypothyroidism,0.0010762325386896973
categorical__Current_Use_Cerebral Embolism,0.0010504870123314105
"categorical__Current_Use_Lymphoma, T-Cell, Cutaneous",0.0010481907512308387
categorical__Current_Use_Actinomycosis,0.0010428614507703624
categorical__Current_Use_Opisthorchiasis,0.0010327904484936903
categorical__Current_Use_Hamman-Rich syndrome,0.0010317196705932482
categorical__Current_Use_Bipolar disorder in remission,0.0010313697637776684
categorical__Drug_Class_Antiprotozoal Agents,0.001030190297487038
categorical__Current_Use_Embolism,0.0010276141965283158
categorical__Current_Use_Bacterial peritonitis,0.0010249376006428983
categorical__Current_Use_3-Beta-hydroxy-delta-5-C27-steroid dehydrogenase deficiency,0.001009779433980813
categorical__Current_Use_Psychotic Disorders,0.0010010520577856765
categorical__Current_Use_African Trypanosomiasis,0.0009858110183151249
categorical__Drug_Class_Anti-Ulcer Agents,0.0009763277077060303
categorical__Target_Protein_UniProt_P68371; P83223; Q71U36,0.0009759326095205265
categorical__Current_Use_Hypertension,0.0009747941499368741
categorical__Target_Protein_UniProt_P36507; Q02750,0.0009678872117710495
categorical__Current_Use_Cholelithiasis,0.0009644336330579404
categorical__Drug_Class_Cholinergic Antagonists,0.0009570350453533142
categorical__Target_Protein_UniProt_P10827; P10828,0.0009524811922036253
categorical__Current_Use_Infection caused by Enterobacter,0.0009523992585220045
categorical__Current_Use_Adrenal Gland Hyperfunction,0.0009494689954575799
categorical__Drug_Class_Histamine H1 Antagonists,0.0009391482514417901
categorical__Target_Protein_UniProt_P0AC13,0.0009274405276608802
categorical__Current_Use_Choroidal Neovascularization,0.0009265848380207721
categorical__Target_Protein_UniProt_O76074; P18545; Q13956,0.00092385687568829
categorical__Drug_Class_Fibrinolytic Agents,0.0009234769842506338
categorical__Target_Protein_UniProt_P07437; Q9H4B7,0.0009137038433875962
categorical__Current_Use_Calcium renal calculus,0.0009126715584153396
categorical__Target_Protein_UniProt_O15530; P35354,0.0009116684197769995
categorical__Current_Use_Acute Promyelocytic Leukemia,0.0009096460020497565
categorical__Current_Use_Basal cell carcinoma,0.0008965439133976083
categorical__Drug_Class_Platelet Aggregation Inhibitors,0.0008893840141454471
categorical__Current_Use_Severe chronic obstructive pulmonary disease,0.0008861746030051163
categorical__Target_Protein_UniProt_P11511,0.0008838582645821898
"categorical__Drug_Class_Contraceptives, Oral, Synthetic",0.0008837126649136788
categorical__Target_Protein_UniProt_Q96RI1,0.0008835407946783664
categorical__Current_Use_Schizophrenia,0.0008830497229443769
categorical__Current_Use_Breast Fibrocystic Disease,0.0008829589525999579
categorical__Current_Use_Enterocolitis,0.000879421464998418
categorical__Target_Protein_UniProt_P20309; P23975; P28335; P31645; P35372; P41143; P41145; Q8TCU5,0.0008775694242425037
categorical__Target_Protein_UniProt_P00750; P27815; P34995; P43119; Q07343; Q08493; Q08499,0.000876688160967118
categorical__Current_Use_Pulmonary arterial hypertension,0.0008766560764870421
categorical__Target_Protein_UniProt_P04083; P04150,0.0008760939787806266
"categorical__Current_Use_Myelofibrosis, Atopic dermatitis",0.0008744716208315278
categorical__Current_Use_Common Cold,0.000872240738697124
categorical__Target_Protein_UniProt_O75469; P03372; Q92731,0.0008718539293838056
categorical__Target_Protein_UniProt_O00555; P01189; P35372; P41143; P41145; P62158,0.0008717311468662958
categorical__Target_Protein_UniProt_P00374,0.0008710981580619095
categorical__Target_Protein_UniProt_Q2FGH1,0.0008681351234817644
categorical__Current_Use_Bacterial keratitis,0.0008659584191263071
categorical__Current_Use_Echinococcus granulosus infection,0.000862506686394868
categorical__Current_Use_Acute bacterial bronchitis,0.0008601808377566081
categorical__Current_Use_Decompensated cardiac failure,0.0008571096691344751
categorical__Drug_Class_Antidiarrheals,0.0008565834847952213
categorical__Target_Protein_UniProt_Q9A1X4,0.0008547544287042593
categorical__Current_Use_Hemorrhoids,0.0008533774642590066
categorical__Drug_Class_Estrogens,0.0008459293629955993
categorical__Current_Use_Impetigo,0.0008370132242504705
categorical__Target_Protein_UniProt_P18405; P31213; P51857,0.0008363128368102331
categorical__Drug_Class_Antimetabolites,0.0008353598491118123
categorical__Current_Use_Hyperthyroidism,0.0008332281040732845
categorical__Target_Protein_UniProt_P54219; Q05940,0.0008320243715722391
categorical__Drug_Class_Hypolipidemic Agents,0.0008296014908626551
categorical__Target_Protein_UniProt_O14746,0.0008285317488773481
categorical__Target_Protein_UniProt_P0A3M6,0.000826563734223253
categorical__Target_Protein_UniProt_P27815; Q07343; Q08493; Q08499,0.0008240997321181707
"categorical__Current_Use_Leukemia, Myelocytic, Acute",0.0008213079073921895
categorical__Target_Protein_UniProt_P24228,0.000821132626430669
"categorical__Current_Use_Skin Diseases, Bacterial",0.0008207802085445447
categorical__Drug_Class_Central Nervous System Stimulants,0.0008195656079028324
categorical__Target_Protein_UniProt_P08913; P18089; P18825; P25100; P35348; P35368,0.000817597995176232
categorical__Target_Protein_UniProt_P03372; P06401; P10275; P13500; P30968,0.0008147340335552228
categorical__Current_Use_Dysmenorrhea,0.0008097743464941553
categorical__Current_Use_Rheumatoid Arthritis,0.0008087659408271302
categorical__Current_Use_Lymphoma,0.0007992714891388463
categorical__Current_Use_Chronic schizophrenia,0.0007987647114415233
