mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__subsample,param_classifier__reg_lambda,param_classifier__n_estimators,param_classifier__min_child_weight,param_classifier__max_depth,param_classifier__learning_rate,param_classifier__gamma,param_classifier__colsample_bytree,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_train_weighted_f1,split1_train_weighted_f1,split2_train_weighted_f1,mean_train_weighted_f1,std_train_weighted_f1,split0_test_macro_f1,split1_test_macro_f1,split2_test_macro_f1,mean_test_macro_f1,std_test_macro_f1,rank_test_macro_f1,split0_train_macro_f1,split1_train_macro_f1,split2_train_macro_f1,mean_train_macro_f1,std_train_macro_f1
6.213257948557536,0.2563964218419235,0.0773455301920573,0.0061070496984828694,0.7,1.0,500,1,6,0.01,0.3,0.8,"{'classifier__subsample': 0.7, 'classifier__reg_lambda': 1.0, 'classifier__n_estimators': 500, 'classifier__min_child_weight': 1, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.01, 'classifier__gamma': 0.3, 'classifier__colsample_bytree': 0.8}",0.45136186770428016,0.4785992217898833,0.5175097276264592,48.24902723735409,0.02714455192795897,1,0.8210116731517509,0.8151750972762646,0.8151750972762646,0.8171206225680935,0.002751388253644144,0.35373428806775487,0.3970052894313574,0.4488055152111847,39.98483642367656,0.03886469574820889,1,0.8003031548371482,0.7946535124409805,0.7953434057218027,0.7967666909999771,0.0025164684961859985,0.13054071919811108,0.20854427565588302,0.25731753715389827,19.88008440026308,0.05221296925755068,1,0.6016562567535122,0.5849020706288444,0.5992181180667305,0.5952588151496957,0.007390658422027701
5.1319473584493,0.14322963052457335,0.08702770868937175,0.0011768367845187775,0.9,1.0,300,3,8,0.05,0.0,0.8,"{'classifier__subsample': 0.9, 'classifier__reg_lambda': 1.0, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 3, 'classifier__max_depth': 8, 'classifier__learning_rate': 0.05, 'classifier__gamma': 0, 'classifier__colsample_bytree': 0.8}",0.3540856031128405,0.38910505836575876,0.4280155642023346,39.0402075226978,0.030195711353625962,17,0.933852140077821,0.9357976653696498,0.9319066147859922,0.9338521400778209,0.001588514748886621,0.3003903577925309,0.3522156065283632,0.3868827641244934,34.64962428151292,0.035541219536724955,4,0.9189353529772596,0.9235852011250458,0.9184921471849197,0.9203375670957415,0.0023035411775223467,0.10425750088485937,0.1810944633294954,0.19974344246458192,16.16984688929789,0.04132428430497481,2,0.7427441550721984,0.7461418549751099,0.7417184512252312,0.7435348204241797,0.0018904124695822676
4.681456009546916,0.092808522301158,0.0987256368001302,0.0012323295285250743,0.8,2.0,500,3,8,0.2,0.0,0.6,"{'classifier__subsample': 0.8, 'classifier__reg_lambda': 2.0, 'classifier__n_estimators': 500, 'classifier__min_child_weight': 3, 'classifier__max_depth': 8, 'classifier__learning_rate': 0.2, 'classifier__gamma': 0, 'classifier__colsample_bytree': 0.6}",0.35019455252918286,0.377431906614786,0.33852140077821014,35.53826199740597,0.01630324914393843,20,0.9785992217898832,0.9708171206225681,0.9766536964980544,0.9753566796368353,0.0033067571424077605,0.3072554732950211,0.3446574833809112,0.3223326953919596,32.47485506892973,0.015364566535365528,9,0.9746912075975835,0.9660184616345932,0.9705711994175202,0.9704269562165657,0.0035421025027900918,0.13080041442275508,0.15128794533305667,0.18032832263944318,15.413889413175163,0.02031993036191734,3,0.8867859119648797,0.8236202804246051,0.8499735487389003,0.8534599137094617,0.025904829762052738
1.9642845789591472,0.03904750190679137,0.05631788571675619,0.001844843159758851,1.0,1.0,200,3,3,0.1,0.1,1.0,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 1.0, 'classifier__n_estimators': 200, 'classifier__min_child_weight': 3, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1, 'classifier__gamma': 0.1, 'classifier__colsample_bytree': 1.0}",0.36964980544747084,0.4085603112840467,0.4280155642023346,40.20752269779507,0.024264963597755766,13,0.8404669260700389,0.8326848249027238,0.8424124513618677,0.8385214007782101,0.004202814979512216,0.29887176666918375,0.35224740325687864,0.3754056247008417,34.217493154230134,0.03204630889960354,5,0.8274866209588532,0.8170439749402594,0.828052347715831,0.8241943145383145,0.005061325845173163,0.09781958732756604,0.17366386703678102,0.18549188026324134,15.232511154252947,0.038842541984120994,4,0.6902549379209801,0.6410927756540696,0.667451847032227,0.6662665202024256,0.020087861997727136
2.872788747151693,0.1300079925637465,0.05278285344441732,0.012663985446278581,1.0,1.0,300,3,3,0.05,0.1,0.8,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 1.0, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 3, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.05, 'classifier__gamma': 0.1, 'classifier__colsample_bytree': 0.8}",0.38910505836575876,0.4280155642023346,0.44357976653696496,42.023346303501945,0.022909885515766126,5,0.7782101167315175,0.7762645914396887,0.7684824902723736,0.77431906614786,0.004202814979512216,0.3081570959771364,0.36038763151793424,0.3743394165916482,34.76280480289063,0.0284854362624203,3,0.7594535565183047,0.7598915341950513,0.7526572305169689,0.7573341070767748,0.00331188132618303,0.09931554078495206,0.18467396317845614,0.17197038255861782,15.198662884067534,0.03760343847639025,5,0.5923719934724818,0.5979652616516182,0.5917458934579274,0.5940277161940092,0.0027959731138561547
1.5213877360026042,0.03854197685104789,0.05617960294087728,0.0005341567480144687,1.0,0.5,300,3,5,0.2,0.3,0.7,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 0.5, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 3, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.2, 'classifier__gamma': 0.3, 'classifier__colsample_bytree': 0.7}",0.4046692607003891,0.45136186770428016,0.45136186770428016,43.57976653696498,0.02201110602915323,2,0.7704280155642024,0.7626459143968871,0.7392996108949417,0.7574578469520103,0.013227028569631078,0.3205031874963447,0.36727701804127555,0.3720002862369537,35.3260163924858,0.02324280453768731,2,0.7396380214474763,0.7342908125555045,0.7096891822625148,0.7278726720884986,0.013041667516651811,0.10354995579133511,0.16732426719130988,0.17563102371925898,14.883508223396799,0.032200492322298345,6,0.5230153075114554,0.514702276460574,0.4932834319919549,0.5103336719879947,0.012524898782163148
3.8703907330830893,0.024041681482472793,0.06603058179219563,0.0157394774525367,0.7,1.0,500,3,6,0.1,0.5,1.0,"{'classifier__subsample': 0.7, 'classifier__reg_lambda': 1.0, 'classifier__n_estimators': 500, 'classifier__min_child_weight': 3, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.1, 'classifier__gamma': 0.5, 'classifier__colsample_bytree': 1.0}",0.3657587548638132,0.39299610894941633,0.377431906614786,37.87289234760052,0.011157360917046215,18,0.8852140077821011,0.8910505836575876,0.8891050583657587,0.8884565499351491,0.002426496359775609,0.3046193442460213,0.35179283560857555,0.34046408139531026,33.22920870833023,0.020106726736921696,8,0.8683076449874287,0.8748369034488553,0.8712899338234753,0.8714781607532531,0.002668879421136382,0.10527468627511571,0.1818169190427255,0.15216848742939323,14.642003091574482,0.03151149963087253,7,0.6760666525231163,0.6715725674401904,0.6653289653991615,0.6709893951208228,0.004402995091112665
0.9318618774414062,0.010734654365973623,0.03867959976196289,0.0019074908441933137,0.9,2.0,100,3,3,0.2,0.1,0.7,"{'classifier__subsample': 0.9, 'classifier__reg_lambda': 2.0, 'classifier__n_estimators': 100, 'classifier__min_child_weight': 3, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.2, 'classifier__gamma': 0.1, 'classifier__colsample_bytree': 0.7}",0.377431906614786,0.42023346303501946,0.4085603112840467,40.20752269779508,0.018065354445115596,12,0.8151750972762646,0.8210116731517509,0.8132295719844358,0.8164721141374839,0.0033067571424077605,0.30948564931923,0.363753330653416,0.34825505979776944,34.04980132568051,0.02282358630344501,7,0.7971587059369456,0.804240575191439,0.7969888963291093,0.7994627258191646,0.003379160871561188,0.10676105702184839,0.17863179304272736,0.14898278001627846,14.479187669361806,0.029490376136864626,8,0.6287853159589358,0.6247741780208274,0.6222901807684417,0.6252832249160684,0.0026759474137664123
1.292696475982666,0.028363531824761198,0.040007591247558594,0.0013160477655851479,1.0,1.0,100,3,6,0.1,0.3,1.0,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 1.0, 'classifier__n_estimators': 100, 'classifier__min_child_weight': 3, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.1, 'classifier__gamma': 0.3, 'classifier__colsample_bytree': 1.0}",0.3968871595330739,0.4357976653696498,0.4396887159533074,42.4124513618677,0.019325115986707324,3,0.7684824902723736,0.7684824902723736,0.7334630350194552,0.7568093385214008,0.016508329521864967,0.3166974334556969,0.3447201791639722,0.36296433116505566,34.14606479282416,0.019028485030248635,6,0.734342200628128,0.7407590377666318,0.7018942316505774,0.7256651566817792,0.017011498216300207,0.1043099470375816,0.14401675600305736,0.15942429218291287,13.591699840785063,0.02321784249272539,9,0.5124616558124655,0.5189675647885378,0.4807285062447108,0.5040525756152381,0.016705106442883647
1.8991347948710124,0.04093153322545919,0.047588745752970375,0.0006898865693747532,0.9,0.5,200,7,4,0.2,0.0,0.9,"{'classifier__subsample': 0.9, 'classifier__reg_lambda': 0.5, 'classifier__n_estimators': 200, 'classifier__min_child_weight': 7, 'classifier__max_depth': 4, 'classifier__learning_rate': 0.2, 'classifier__gamma': 0, 'classifier__colsample_bytree': 0.9}",0.3463035019455253,0.377431906614786,0.36964980544747084,36.44617380025941,0.013227028569631094,19,0.8249027237354085,0.811284046692607,0.8249027237354085,0.8203631647211415,0.00641990592516967,0.28595461267549854,0.3243508304980403,0.3327776463506992,31.436102984141268,0.020378848650935633,10,0.7961230862304594,0.7825915134816468,0.7911309778610895,0.7899485258577319,0.005587158479900438,0.08362238891839263,0.14220190633734925,0.159225343423768,12.834987955983665,0.032381688929281824,10,0.5550017320443875,0.53349580564324,0.5319669462424643,0.5401548279766973,0.010516883982854525
