mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_estimators,param_classifier__min_samples_split,param_classifier__min_samples_leaf,param_classifier__max_features,param_classifier__max_depth,param_classifier__class_weight,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.4286627769470215,0.255220431683833,0.38212839762369794,0.22229469376853975,500,2,1,sqrt,20,balanced_subsample,"{'classifier__n_estimators': 500, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 20, 'classifier__class_weight': 'balanced_subsample'}",0.36895610862418626,0.38445423634134424,0.33536801298931584,0.36292611931828206,0.020487962466015554,1
1.4409887790679932,0.07805989252726758,0.12751046816507974,0.00672912609576428,200,10,4,log2,,,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'log2', 'classifier__max_depth': None, 'classifier__class_weight': None}",0.028611111111111108,0.02841225626740947,0.02841225626740947,0.028478541215310016,9.374107230214621e-05,25
1.00558336575826,0.08939780991268964,0.12573973337809244,0.05858541372598213,100,10,2,,10,balanced_subsample,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 2, 'classifier__max_features': None, 'classifier__max_depth': 10, 'classifier__class_weight': 'balanced_subsample'}",0.21645849509856302,0.28935330690352207,0.2074835278800972,0.23776510996072742,0.036661915361853446,8
1.3064865271250408,0.0512661265255279,0.37228822708129883,0.09563637382793642,300,5,1,sqrt,20,,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 20, 'classifier__class_weight': None}",0.12974170330706833,0.13173014077425843,0.11667844627028301,0.1260500967838699,0.006676293677475137,22
1.8403181234995525,0.046079194022615885,0.6265702247619629,0.14463912174736254,500,2,4,sqrt,5,,"{'classifier__n_estimators': 500, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 5, 'classifier__class_weight': None}",0.028611111111111108,0.02841225626740947,0.02841225626740947,0.028478541215310016,9.374107230214621e-05,25
1.951694170633952,0.03595968701336438,0.7260634104410807,0.07864218917455748,500,2,2,sqrt,30,,"{'classifier__n_estimators': 500, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 30, 'classifier__class_weight': None}",0.13697116503568116,0.09120960434913923,0.09375478927203065,0.10731185288561702,0.020998025137047776,23
2.6723848978678384,0.29047580899273656,0.4448258876800537,0.08330428821045843,500,2,4,,,,"{'classifier__n_estimators': 500, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 4, 'classifier__max_features': None, 'classifier__max_depth': None, 'classifier__class_weight': None}",0.2188552416289074,0.1538236359359107,0.12943953707111602,0.1673728048786447,0.037740138134976134,17
1.6871896584828694,0.4345259739844916,0.3295135498046875,0.04548025834431897,200,10,1,,15,balanced,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 1, 'classifier__max_features': None, 'classifier__max_depth': 15, 'classifier__class_weight': 'balanced'}",0.2344844904178583,0.2924116723929832,0.22640840360852765,0.2511015221397897,0.029396169591677845,6
2.0101969242095947,0.11117656849001728,0.12051169077555339,0.00662622039923858,200,2,2,sqrt,5,balanced_subsample,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 5, 'classifier__class_weight': 'balanced_subsample'}",0.2724200441257033,0.3402468895421551,0.2579927372396035,0.2902198903024873,0.035861421106724314,5
1.0284748077392578,0.17020366437231543,0.12499753634134929,0.04867496157171786,100,5,2,,,balanced,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 2, 'classifier__max_features': None, 'classifier__max_depth': None, 'classifier__class_weight': 'balanced'}",0.21787298406200845,0.2701084395110701,0.21272955073116379,0.2335703247680808,0.025921536712884153,9
1.05972425142924,0.010845302432969842,0.18455243110656738,0.0680305982241185,100,2,2,log2,5,balanced_subsample,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'log2', 'classifier__max_depth': 5, 'classifier__class_weight': 'balanced_subsample'}",0.30230060072067744,0.3196574174308197,0.2699962879516365,0.29731810203437786,0.020577915591822912,3
1.890957196553548,0.05517951166741937,0.15133794148763022,0.011762682096558313,500,5,4,sqrt,10,,"{'classifier__n_estimators': 500, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 10, 'classifier__class_weight': None}",0.028611111111111108,0.02841225626740947,0.02841225626740947,0.028478541215310016,9.374107230214621e-05,25
1.686468283335368,0.06629953972959923,0.12961673736572266,0.006874820993241854,500,2,4,sqrt,15,,"{'classifier__n_estimators': 500, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 15, 'classifier__class_weight': None}",0.028611111111111108,0.02841225626740947,0.02841225626740947,0.028478541215310016,9.374107230214621e-05,25
0.4761374791463216,0.030959809692169295,0.10744706789652507,0.00713167539846409,100,10,4,,30,balanced,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 4, 'classifier__max_features': None, 'classifier__max_depth': 30, 'classifier__class_weight': 'balanced'}",0.17211310596295118,0.21682360095785808,0.1720548527143355,0.18699718654504827,0.021090473298051676,14
0.47464513778686523,0.03802737918398606,0.09144282341003418,0.024800326125406804,100,10,2,log2,,,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'log2', 'classifier__max_depth': None, 'classifier__class_weight': None}",0.028611111111111108,0.02841225626740947,0.02841225626740947,0.028478541215310016,9.374107230214621e-05,25
