Feature,Importance
numeric__Hydrogen_Bond_Acceptors,0.0037643563
categorical__Current_Use_Major Depressive Disorder,0.003659921
categorical__Target_Protein_UniProt_P08172; P11229; P20309,0.0036586795
categorical__Current_Use_Parkinson Disease,0.0036501647
categorical__Target_Protein_UniProt_P0A7J6,0.0036194844
categorical__Drug_Class_Diuretics,0.0036165938
categorical__Drug_Class_Fibrinolytic Agents,0.0035958465
categorical__Drug_Class_Adrenergic alpha-1 Receptor Antagonists,0.0035946732
categorical__Drug_Class_Anti-Bacterial Agents,0.003524854
categorical__Current_Use_Erectile dysfunction,0.0033857797
categorical__Current_Use_Prostatic Hypertrophy,0.003380551
categorical__Current_Use_Atrophic Vaginitis,0.0032873093
categorical__Current_Use_Edema,0.0032802424
categorical__Drug_Class_Anti-Allergic Agents,0.0031297372
categorical__Target_Protein_UniProt_P25100; P35348; P35368,0.0030782898
categorical__Current_Use_Depressive disorder,0.0027639493
"categorical__Current_Use_Malignant melanoma, metastatic",0.0026991526
categorical__Current_Use_Chronic Obstructive Airway Disease,0.00267634
categorical__Current_Use_Epilepsy,0.0026205739
categorical__Target_Protein_UniProt_P35367,0.0025631324
categorical__Current_Use_Actinic keratosis,0.00240843
categorical__Drug_Class_Antioxidants,0.0020092584
categorical__Current_Use_Absence Epilepsy,0.0018299664
categorical__Current_Use_Psychotic Disorders,0.0015391605
categorical__Drug_Class_Hydroxymethylglutaryl-CoA Reductase Inhibitors,0.0014844834
categorical__Drug_Class_5-alpha Reductase Inhibitors,0.0
categorical__Current_Use_Rheumatoid Arthritis,0.0
categorical__Current_Use_Secondary malignant neoplasm of female breast,0.0
categorical__Current_Use_Severe chronic obstructive pulmonary disease,0.0
categorical__Current_Use_Uveitis,0.0
categorical__Current_Use_Varicosity,0.0
categorical__Current_Use_Ventricular arrhythmia,0.0
categorical__Current_Use_Vertigo,0.0
categorical__Current_Use_Prostatic Neoplasms,0.0
categorical__Current_Use_Pseudobulbar affect,0.0
categorical__Drug_Class_Anabolic Agents,0.0
categorical__Drug_Class_Aminoglycosides,0.0
categorical__Drug_Class_Amebicides,0.0
categorical__Drug_Class_Alcohol Deterrents,0.0
categorical__Drug_Class_Adrenergic beta-2 Receptor Agonists,0.0
categorical__Drug_Class_Adrenergic Uptake Inhibitors,0.0
categorical__Drug_Class_Sclerosing Solutions,0.0
categorical__Drug_Class_Serotonin Receptor Agonists,0.0
categorical__Drug_Class_Serotonin Uptake Inhibitors,0.0
categorical__Drug_Class_Sodium Chloride Symporter Inhibitors,0.0
categorical__Drug_Class_Sweetening Agents,0.0
categorical__Drug_Class_Sympatholytics,0.0
categorical__Drug_Class_Tetracyclines,0.0
categorical__Drug_Class_Thrombopoietic Agents,0.0
categorical__Drug_Class_Ionophores,0.0
categorical__Drug_Class_Iron Chelating Agents,0.0
categorical__Current_Use_Psoriasis,0.0
categorical__Current_Use_Pulmonary Cystic Fibrosis,0.0
categorical__Current_Use_Pulmonary Hypertension,0.0
categorical__Current_Use_Renal Cell Carcinoma,0.0
"categorical__Current_Use_Respiratory Distress Syndrome, Newborn",0.0
categorical__Target_Protein_UniProt_A2QLK4,0.0
categorical__Target_Protein_UniProt_A8MPY1; O00591; O14764; P14867; P18505; P18507; P24046; P28472; P28476; P30536; P31644; P34903; P47869; P47870; P48169; P78334; Q16445; Q8N1C3; Q99928; Q9UN88,0.0
categorical__Target_Protein_UniProt_A8MPY1; O00591; O14764; P14867; P18505; P18507; P24046; P28472; P28476; P31644; P34903; P35498; P47869; P47870; P48169; P78334; Q16445; Q8N1C3; Q99928; Q9UN88,0.0
categorical__Target_Protein_UniProt_A8MPY1; O00591; O14764; P14867; P18505; P18507; P24046; P28472; P28476; P31644; P34903; P47869; P47870; P48169; P78334; Q16445; Q8N1C3; Q99928; Q9UN88,0.0
categorical__Target_Protein_UniProt_A8MPY1; O00591; O14764; P14867; P18505; P18507; P24046; P28472; P28476; P31644; P34903; P47869; P47870; P78334; Q8N1C3; Q99928,0.0
categorical__Target_Protein_UniProt_O00180; Q12809; Q14524; Q9Y257,0.0
categorical__Target_Protein_UniProt_O00459; P07550; P08588; P13945; P27986; P28482; Q92569,0.0
categorical__Target_Protein_UniProt_O00469; O14832; O60568; O75936; P09172; P09848; P13674; P19021; Q02809; Q32P28; Q6N063; Q6NS38; Q8IVL5; Q8IVL6; Q8N543; Q96KS0; Q96Q83; Q9BY66; Q9GZT9; Q9H6Z9; Q9NVH6; Q9NXG6; Q9UHI7,0.0
categorical__Target_Protein_UniProt_O00519; P14867; P31644; P34903; P36544; P42262; P43681; P47869; P48169; Q13002; Q16445,0.0
categorical__Target_Protein_UniProt_O00555; P01189; P35372; P41143; P41145; P62158,0.0
categorical__Drug_Class_Protease Inhibitors,0.0
categorical__Drug_Class_Proton Pump Inhibitors,0.0
categorical__Drug_Class_Purine analogues,0.0
categorical__Drug_Class_Quinolones,0.0
categorical__Drug_Class_Radiation-Protective Agents,0.0
categorical__Drug_Class_Respiratory System Agents,0.0
categorical__Target_Protein_UniProt_O14939; P06276; P22303; P49585; Q13393; Q8TCT1; Q9Y5K3,0.0
categorical__Target_Protein_UniProt_O15111; P09917; P35354; Q9NZK7,0.0
categorical__Target_Protein_UniProt_O15269; O15270; P20132; P21549; P35520; P49591; Q9GZT4,0.0
categorical__Target_Protein_UniProt_O15379; O67135; Q13547; Q92769; Q9BY41; Q9UBN7,0.0
categorical__Target_Protein_UniProt_O15530; P35354,0.0
categorical__Target_Protein_UniProt_O25608,0.0
categorical__Target_Protein_UniProt_O43451; P04746; P10253; P14410,0.0
categorical__Target_Protein_UniProt_O43451; P10253; Q14697; Q8TET4,0.0
categorical__Target_Protein_UniProt_O43497,0.0
categorical__Target_Protein_UniProt_O43525; O43526; P09917; P14555; P23219; P35354; P35499; P78348,0.0
categorical__Drug_Class_Uricosuric Agents,0.0
categorical__Drug_Class_Vasodilator Agents,0.0
categorical__Drug_Class_Vasopressin receptor antagonists,0.0
categorical__Drug_Class_Vitamin B Complex,0.0
categorical__Drug_Class_Vitamins,0.0
categorical__Drug_Class_sodium-glucose cotransporter 2 inhibitor ,0.0
categorical__Target_Protein_UniProt_O60760,0.0
categorical__Target_Protein_UniProt_O60779; Q9H3S4,0.0
categorical__Target_Protein_UniProt_O75469,0.0
categorical__Target_Protein_UniProt_O75469; O76054; P05771; P09917; P17252; P23743; P62714; P67775; Q9UDX3; Q9UDX4,0.0
categorical__Target_Protein_UniProt_O75469; P03372,0.0
categorical__Target_Protein_UniProt_O75469; P03372; Q92731,0.0
categorical__Target_Protein_UniProt_O75469; P0A8T7; P0A8V2,0.0
categorical__Target_Protein_UniProt_O75469; P0A8V2,0.0
categorical__Target_Protein_UniProt_O75469; P10415; P10636; P11137; P27816; Q9H4B7,0.0
