Algorithm,Accuracy,Precision,Recall,Weighted_F1,Macro_F1
Logistic Regression,55.44041450777202,51.800933750796595,55.44041450777202,48.675237555616015,29.055100696405045
Random Forest,53.36787564766839,53.22113500641389,53.36787564766839,47.62988624508439,29.213063974679248
XGBoost,52.84974093264248,48.074323355080075,52.84974093264248,47.10630392518315,28.14372837249051
Decision Tree,49.740932642487046,45.66478063341985,49.740932642487046,46.811579636618795,28.069307415237642
