mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__class_weight,param_classifier__criterion,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.14275010426839194,0.025561149116745997,0.02347906430562337,0.0020915928268716785,,gini,,1,2,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}",0.31514944584236704,0.25111452482069213,0.2026308249340286,0.25629826519902926,0.046081546458505464,1
0.12023202578226726,0.01694044623796895,0.023240009943644207,0.0022909772259109263,,gini,,1,5,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5}",0.30820625484516223,0.2438060021223032,0.18336429905404442,0.2451255186738366,0.050975054843097396,2
0.1124105453491211,0.008202883710821547,0.02171182632446289,0.0019713571070013717,,gini,,1,10,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}",0.28280493919832106,0.22857697274920158,0.20391153344407414,0.23843114846386562,0.03295320876776307,3
0.12220009167989095,0.004166257284930445,0.024580637613932293,0.002439606227237939,,gini,,2,2,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2}",0.23882402318345922,0.2110963895308909,0.17854944704827883,0.20948995325420963,0.024633197250894204,8
0.11739095052083333,0.00793074051177699,0.020494381586710613,0.0012935805307554497,,gini,,2,5,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5}",0.25253502848967874,0.20123796760777868,0.19223149098815945,0.21533482902853895,0.026560249562537063,7
0.0745695432027181,0.03053891357056551,0.022228797276814777,0.0004809273428796853,,gini,,2,10,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10}",0.23135243995177807,0.21055244292840686,0.18023524864806245,0.2073800438427491,0.0209887255237056,9
0.05279437700907389,0.0040745393853803815,0.018746693929036457,0.0015917140554585069,,gini,,4,2,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}",0.18578368269157744,0.13305846571549793,0.1434378366731308,0.15409332836006873,0.02280558051020946,43
0.04125237464904785,0.005059423231440586,0.01768914858500163,0.0019519226934837945,,gini,,4,5,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5}",0.18578368269157744,0.13305846571549793,0.1434378366731308,0.15409332836006873,0.02280558051020946,43
0.04086430867513021,0.003672813524778676,0.017050743103027344,0.0018880620328014534,,gini,,4,10,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10}",0.18918919511291404,0.1347942863510222,0.14315346615096303,0.1557123158716331,0.02391645255932152,41
0.030204614003499348,0.0020935912639255543,0.01630536715189616,0.002074663343471261,,gini,3,1,2,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}",0.049096045197740114,0.06411822660098523,0.059645562770562766,0.05761994485642937,0.006297821288802685,304
0.026556968688964844,0.0038513798446726624,0.01852567990620931,0.0012533082186172847,,gini,3,1,5,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5}",0.049096045197740114,0.06411822660098523,0.059645562770562766,0.05761994485642937,0.006297821288802685,304
