Feature,Importance
categorical__Current_Use_Diabetic Nephropathy,0.13163734014033834
categorical__Drug_Class_Gout Suppressants,0.1316293546650715
categorical__Current_Use_Malignant neoplasm of ovary,0.1315837291003052
"categorical__Drug_Class_Antineoplastic Agents, Phytogenic",0.13134104322602674
categorical__Current_Use_Contact Dermatitis,0.1312749493474081
categorical__Current_Use_Arthralgia,0.12985354258531834
categorical__Current_Use_Blast Phase,0.12921435098015277
categorical__Current_Use_Familial hypercholesterolemia - heterozygous,0.12919458015134994
categorical__Current_Use_Anxiety,0.12918724981787535
categorical__Drug_Class_Immunosuppressive Agents,0.1291671078028484
categorical__Current_Use_Cholelithiasis,0.12866657124187428
"categorical__Drug_Class_Contraceptives, Oral, Synthetic",0.1285182323445551
"categorical__Current_Use_Hepatitis C, Chronic",0.12817253518277857
categorical__Target_Protein_UniProt_Q14524,0.1281576960577899
categorical__Target_Protein_UniProt_P04818,0.12737090153597508
categorical__Drug_Class_Estrogens,0.12697828975154574
categorical__Current_Use_Bacterial keratitis,0.12482900916016551
categorical__Current_Use_Epilepsy characterized by intractable complex partial seizures,0.1243806145547692
categorical__Target_Protein_UniProt_P04293,0.12374025702831053
categorical__Target_Protein_UniProt_P07550,0.1227237831816729
categorical__Current_Use_Chloasma,0.1222642863111909
categorical__Target_Protein_UniProt_P0A7V8; P0A7X3,0.12169686048791299
categorical__Current_Use_Alcohol Withdrawal Delirium,0.12150255143778262
categorical__Current_Use_Erectile dysfunction,0.12135181158350841
categorical__Drug_Class_Anticoagulants,0.12132921385553523
categorical__Drug_Class_Sodium Chloride Symporter Inhibitors,0.12033573609939623
categorical__Current_Use_Extrapyramidal Disorders,0.11962350692916505
categorical__Current_Use_Pruritus,0.11897430755300913
categorical__Current_Use_Schizophrenia,0.1189088583775425
categorical__Current_Use_Depressive disorder,0.11853124238950527
categorical__Drug_Class_Antipruritics,0.11805226890189549
categorical__Current_Use_Rheumatoid Arthritis,0.11792920218518999
categorical__Drug_Class_Histamine H1 Antagonists,0.11665760710468506
categorical__Target_Protein_UniProt_P04035,0.1166284450771418
categorical__Current_Use_Pulmonary arterial hypertension,0.11656542032731773
categorical__Target_Protein_UniProt_P0A7J6,0.11634560399389142
categorical__Current_Use_Acute bacterial sinusitis,0.11568022366640407
categorical__Current_Use_Attention deficit hyperactivity disorder,0.11530538384443874
categorical__Drug_Class_Dopamine Agents,0.11494505651219467
"categorical__Drug_Class_Antibiotics, Antineoplastic",0.11416429892072018
"categorical__Current_Use_Malignant melanoma, metastatic",0.11392798956939902
categorical__Current_Use_Major Depressive Disorder,0.11204417195863589
categorical__Drug_Class_Antimetabolites,0.11182863758833869
categorical__Drug_Class_Adrenergic beta-2 Receptor Agonists,0.11096174236680065
categorical__Current_Use_Adrenal Gland Hyperfunction,0.11041174639164095
categorical__Current_Use_Ankylosing spondylitis,0.11026550080009816
categorical__Current_Use_Gastric ulcer,0.10992732981226508
categorical__Target_Protein_UniProt_P08172; P08173; P08912; P11229; P20309,0.10984443147264103
categorical__Current_Use_Infection of skin AND/OR subcutaneous tissue,0.10945186302458854
categorical__Drug_Class_Antimalarials,0.10933450795677771
"categorical__Current_Use_Malaria, Falciparum",0.10911141760363552
categorical__Current_Use_Atrial Fibrillation,0.10905673041130867
categorical__Drug_Class_Adrenergic alpha-1 Receptor Antagonists,0.10897411140142135
"categorical__Current_Use_Candidiasis, Vulvovaginal",0.10774816805711421
categorical__Target_Protein_UniProt_P03372,0.10769179594163117
categorical__Target_Protein_UniProt_P25021,0.10713133932022212
categorical__Current_Use_Actinic keratosis,0.10711826035874084
categorical__Drug_Class_Histamine Antagonists,0.10688156670167577
categorical__Current_Use_Osteitis Deformans,0.10652885727586352
categorical__Drug_Class_Platelet Aggregation Inhibitors,0.10648136463050888
categorical__Target_Protein_UniProt_P30556,0.10632691971291172
categorical__Current_Use_Decompensated cardiac failure,0.10606743008258582
categorical__Drug_Class_Corticosteroids,0.1059880415632332
"categorical__Current_Use_Leukemia, Myelocytic, Acute",0.10579421441295647
categorical__Target_Protein_UniProt_P14324,0.1056403531255788
categorical__Current_Use_Hodgkin Disease,0.10547489105137789
categorical__Drug_Class_Quinolones,0.10363075362060101
categorical__Drug_Class_Anti-Ulcer Agents,0.10339893737448427
categorical__Current_Use_Acute bacterial bronchitis,0.10243894985866595
categorical__Target_Protein_UniProt_P00374,0.10238888133121068
categorical__Current_Use_Prostatic Hypertrophy,0.10236339707291073
categorical__Current_Use_Chronic pain,0.1021446753380942
categorical__Current_Use_Chronic Obstructive Airway Disease,0.10191112372482133
categorical__Current_Use_Narcolepsy,0.09973139928957783
categorical__Drug_Class_Antioxidants,0.09967084512545402
categorical__Target_Protein_UniProt_P03372; P06401,0.09897907001283389
categorical__Drug_Class_Fibrinolytic Agents,0.09827093840209265
categorical__Drug_Class_Antiemetics,0.09814420205782774
"categorical__Current_Use_Anemia, Diamond-Blackfan",0.09715481594301577
categorical__Target_Protein_UniProt_P11388,0.09704033824010515
categorical__Drug_Class_Antiprotozoal Agents,0.0967255603455231
categorical__Target_Protein_UniProt_P08172; P08173; P11229; P20309,0.09665712390604908
categorical__Target_Protein_UniProt_P00915; P00918; P22748; P43166,0.09470902646908771
categorical__Current_Use_Angle Closure Glaucoma,0.09470902646908771
categorical__Current_Use_Hot flushes,0.09461610710366965
categorical__Current_Use_African Trypanosomiasis,0.09416441206040235
categorical__Current_Use_Peptic Ulcer,0.09412827344451805
