mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__solver,param_classifier__class_weight,param_classifier__C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.33392802874247235,0.026217812148949877,0.021456797917683918,0.0019692508719780654,lbfgs,,0.01,"{'classifier__solver': 'lbfgs', 'classifier__class_weight': None, 'classifier__C': 0.01}",0.028611111111111108,0.03873563218390804,0.031414377556984216,0.03292037361733446,0.004268293947915655,16,0.030398028407886368,0.03758955451628601,0.040561850802644,0.03618314457560546,0.004266873414963078
0.19291885693868002,0.037822476451069224,0.021104176839192707,0.002259747713254762,lbfgs,balanced,0.01,"{'classifier__solver': 'lbfgs', 'classifier__class_weight': 'balanced', 'classifier__C': 0.01}",0.12374370011100518,0.1950970551528628,0.21401113423528,0.177617296499716,0.03886908701246849,12,0.28353970136414713,0.3197607949186424,0.26689941203307327,0.29006663610528755,0.022068561469203423
0.24594529469807944,0.02346784935033417,0.023925065994262695,0.0028862279306613153,lbfgs,,0.03,"{'classifier__solver': 'lbfgs', 'classifier__class_weight': None, 'classifier__C': 0.03}",0.032690807799442896,0.04456155482720947,0.03104522792022792,0.03609919684896009,0.006021384680107499,15,0.035508449741135095,0.04315346874260718,0.04266289847036272,0.04044160565136833,0.003494012518962911
0.2048028310139974,0.027294498105342454,0.025534709294637043,0.0010383291318667694,lbfgs,balanced,0.03,"{'classifier__solver': 'lbfgs', 'classifier__class_weight': 'balanced', 'classifier__C': 0.03}",0.18674621931225704,0.23465819277977742,0.24142059050340783,0.2209416675318141,0.02433692688002392,11,0.3484479981134235,0.3912408577141534,0.3661044400666965,0.36859776529809113,0.017558847935520098
0.39224934577941895,0.09348855887371785,0.027065436045328777,0.004227574638672534,lbfgs,,0.1,"{'classifier__solver': 'lbfgs', 'classifier__class_weight': None, 'classifier__C': 0.1}",0.043915688830943066,0.044313093604756285,0.04439377183923278,0.04420751809164405,0.00020896647646695282,14,0.058287684293221675,0.06020166526621342,0.06055526449844821,0.05968153801929443,0.0009961188889968393
0.29532670974731445,0.27580343369840726,0.025638024012247723,0.0057152277848125255,lbfgs,balanced,0.1,"{'classifier__solver': 'lbfgs', 'classifier__class_weight': 'balanced', 'classifier__C': 0.1}",0.22260848337794906,0.2719913169083649,0.3013025155101158,0.26530077193214324,0.03247317064248327,10,0.46275090008560094,0.5286873506872249,0.4727749942754088,0.4880710816827449,0.029010131528654493
0.1600982348124186,0.00993015285552196,0.020671765009562176,0.0016277921161129394,lbfgs,,0.3,"{'classifier__solver': 'lbfgs', 'classifier__class_weight': None, 'classifier__C': 0.3}",0.11993006993006991,0.1549968255918735,0.11912282495116078,0.13134990682436806,0.016724143954410027,13,0.29665074436934835,0.2618856634978842,0.26455343412793925,0.2743632806650573,0.01579720500196612
0.14575457572937012,0.020328195469041688,0.0200042724609375,0.001988162862653028,lbfgs,balanced,0.3,"{'classifier__solver': 'lbfgs', 'classifier__class_weight': 'balanced', 'classifier__C': 0.3}",0.2809625747465422,0.2740718845972217,0.37251366944128217,0.30918270959501537,0.04487002161035496,8,0.6326868694070492,0.6728449413603182,0.6346568449323866,0.646729551899918,0.01848387361808295
0.305087407430013,0.0036009524519648424,0.031749725341796875,0.0031113674631480437,lbfgs,,1.0,"{'classifier__solver': 'lbfgs', 'classifier__class_weight': None, 'classifier__C': 1.0}",0.271487191644067,0.25635345607161486,0.3127929058842701,0.28021118453331734,0.023852797358487124,9,0.7573396091773235,0.7497815632619258,0.7409995529111442,0.7493735751167977,0.006677035292223639
0.2597750822703044,0.04301020659152859,0.034960269927978516,0.0038381056856787075,lbfgs,balanced,1.0,"{'classifier__solver': 'lbfgs', 'classifier__class_weight': 'balanced', 'classifier__C': 1.0}",0.3417494977234337,0.3571119433579387,0.38723630150736,0.3620325808629108,0.018893064595433884,5,0.8116213531063329,0.8152782166113605,0.8479482494754634,0.8249492730643856,0.016331112426726822
0.3945951461791992,0.053426880170588546,0.035750389099121094,0.0063582953003746,lbfgs,,3.0,"{'classifier__solver': 'lbfgs', 'classifier__class_weight': None, 'classifier__C': 3.0}",0.3476966384746705,0.335352530283895,0.3913776584190333,0.3581422757258663,0.02403521373356661,6,0.9717372962704378,0.9706416426795279,0.9557867033864188,0.9660552141121282,0.007274698096408068
0.3580485184987386,0.027988307957513607,0.04048983256022135,0.002539556665499215,lbfgs,balanced,3.0,"{'classifier__solver': 'lbfgs', 'classifier__class_weight': 'balanced', 'classifier__C': 3.0}",0.3729985238014882,0.37799143144721803,0.391100175956246,0.38069671040165076,0.007633537989204163,1,0.9116729861036946,0.9160774812666747,0.9305212057736221,0.9194238910479972,0.008050370177818242
0.4710244337717692,0.03270415877507408,0.042155186335245766,0.007118564857140472,lbfgs,,10.0,"{'classifier__solver': 'lbfgs', 'classifier__class_weight': None, 'classifier__C': 10.0}",0.3432041709068864,0.327711686299751,0.39127432526557254,0.35406339415740334,0.027061587971123315,7,0.9963241512043381,0.9923200829879374,0.9964050141427305,0.9950164161116687,0.0019068812127484148
0.4633036454518636,0.023614075901413924,0.03252553939819336,0.004763308845496458,lbfgs,balanced,10.0,"{'classifier__solver': 'lbfgs', 'classifier__class_weight': 'balanced', 'classifier__C': 10.0}",0.36751998001998004,0.37573444924528515,0.38048096665104336,0.3745784653054362,0.005354064983078563,3,0.9736054737821009,0.9751533341896369,0.9782258524520433,0.9756615534745937,0.0019201892084924153
0.4946691195170085,0.014657247728864264,0.025005022684733074,0.007166829848149951,lbfgs,,30.0,"{'classifier__solver': 'lbfgs', 'classifier__class_weight': None, 'classifier__C': 30.0}",0.34122609348925137,0.3639397752107836,0.3934637477790227,0.36620987215968587,0.021386259397760954,4,0.9965999629997471,0.9904867648360728,0.9970637124967181,0.9947168134441794,0.002997081838410293
0.40508778889973956,0.007781493980407685,0.016792933146158855,0.005431927772893934,lbfgs,balanced,30.0,"{'classifier__solver': 'lbfgs', 'classifier__class_weight': 'balanced', 'classifier__C': 30.0}",0.3814695653343583,0.37739770351340735,0.38056291311012364,0.37981006065262973,0.001745490339760414,2,0.9891118802346153,0.9926645658263306,0.9938235423071677,0.9918666627893712,0.002004565923714175
