Experiment,Processed_Features,Accuracy,Precision,Recall,Weighted_F1,Macro_F1
Chemical Only,6,40.932642487046635,36.28147969634896,40.932642487046635,35.57712429996198,15.600672737847807
Chemical + Drug Class,158,44.04145077720207,37.83999822859926,44.04145077720207,38.16332294245882,17.674193903909927
Chemical + Current Use,351,48.18652849740933,42.89252855192374,48.18652849740933,43.19292414720638,22.608356676003734
All Features,918,52.331606217616574,49.04967513775803,52.331606217616574,47.30983511356926,27.54152193591849
