Record_#,Drug_Name,DrugBank_ID,Molecular_Weight,LogP,Hydrogen_Bond_Donors,Hydrogen_Bond_Acceptors,TPSA,Rotatable_Bonds,Drug_Class,Target_Protein_UniProt,Current_Use,Repurposed_Use,Repurposed_Category
462,Incadronate,DB06255,273.16,0.55,5,3,127.09,4,Bone Density Conservation Agents,,Osteoporosis,,Others
463,Indapamide,DB00808,365.84,2.08,2,4,92.5,3,Antihypertensive Agents,P15382; P51787,Edema,hypertensive disease,Others
464,Indinavir,DB00224,613.8,2.87,4,7,118.03,11,,,HIV Infections,,Others
465,Indomethacin,DB00328,357.79,3.93,1,3,68.53,4,Gout Suppressants,P14555; P23219; P35354; P37231; Q04760; Q07869; Q8N8N7; Q9Y5Y4,Ankylosing spondylitis,bursitis; degenerative polyarthritis; gout; patent ductus arteriosus; rheumatism; rheumatoid arthritis; shoulder tendinitis; synovitis; tendinitis; tenosynovitis; shoulder bursitis,Arthritis
466,Ingenol Mebutate,DB05013,430.54,2.33,3,6,104.06,3,Antineoplastic Agents,P17252; Q05655,Actinic keratosis,,Others
467,Ipratropium bromide,DB00332,412.37,-0.14,1,3,46.53,5,Bronchodilator Agents,P08172; P11229; P20309,Allergic rhinitis (disorder),bronchial spasm; bronchitis; chronic obstructive airway disease; pulmonary emphysema; rhinorrhea,Respiratory
468,Irbesartan,DB01029,428.54,4.78,1,5,87.13,7,Antihypertensive Agents,P05412; P30556,Diabetic Nephropathy,hypertensive disease,Others
469,Irinotecan,DB00762,586.69,4.09,1,8,114.2,4,"Antineoplastic Agents, Phytogenic",P11387; Q969P6,Metastasis from malignant tumor of colon,secondary malignant neoplasm of pancreas,Cancer
470,Isavuconazonium,DB06636,437.48,4.24,1,6,87.62,6,,,Aspergillosis,mucormycosis,Others
471,Isocarboxazid,DB01247,231.26,1.42,2,4,67.16,4,Antidepressive Agents,P21397; P27338,Major Depressive Disorder,,Others
472,Isoniazid,DB00951,137.14,-0.31,2,3,68.01,1,Antitubercular Agents,,Acute tuberculosis,"tuberculosis, pulmonary",Infection
473,Isoprenaline,DB01064,211.26,1.13,4,4,72.72,4,Sympathomimetics,O00459; P07550; P08588; P13945; P27986; P28482; Q92569,Atrioventricular Block,cardiac arrest; common cold; hypovolemic shock; low cardiac output syndrome,Heart
474,Isopropamide,DB01625,353.53,4.11,1,1,43.09,8,,P08173; P20309,Peptic Ulcer,,Others
475,Isosorbide Mononitrate,DB01020,191.14,-1.28,1,6,91.06,2,Vasodilator Agents,P33402,Angina Pectoris,,Others
476,Isoxsuprine,DB08941,301.39,2.87,3,4,61.72,7,,,Cerebrovascular Disorders,raynaud disease; vascular diseases,Others
477,Ivacaftor,DB08820,392.5,5.08,3,3,82.19,2,,P13569,Pulmonary Cystic Fibrosis,,Others
478,Ixabepilone,DB04845,506.71,4.05,3,7,112.05,2,,Q13509,Breast Carcinoma,carcinoma breast stage iv,Cancer
479,Ixazomib,DB09570,361.03,2.68,4,4,105.64,7,,,Multiple Myeloma,,Others
480,Kanamycin,DB01172,484.5,-7.29,11,15,282.61,6,Anti-Bacterial Agents,P0A7S3,Arthropathy associated with infection,"bacterial sepsis; cholangitis; infection of bone; infection of skin and/or subcutaneous tissue; intraabdominal infections; meningitis; pneumonia, bacterial; urinary tract infection",Infection
481,Ketoprofen,DB01009,254.28,3.11,1,2,54.37,4,"Anti-Inflammatory Agents, Non-Steroidal",P23219; P25024; P35354,Degenerative polyarthritis,dysmenorrhea; pain; rheumatoid arthritis,Arthritis
482,Ketorolac,DB00465,255.27,2.29,1,2,59.3,3,"Anti-Inflammatory Agents, Non-Steroidal",P23219; P35354,Acute postoperative pain,allergic conjunctivitis; severe pain,Eye
483,Ketotifen,DB00920,309.43,4.01,0,3,20.31,0,Anti-Allergic Agents,O60658; O95263; P27815; P35367; P52209; Q07343; Q08493; Q08499; Q13946; Q9NP56,Allergic Conjunctivitis,,Others
484,L-Aspartic Acid,DB00128,133.1,-1.13,3,3,100.62,3,Dietary Supplements,O75746; P00505; P00966; P07998; P08243; P14868; P17174; P22234; P27708; P30520; P43005; P45381; P61626; Q03154; Q12797; Q5T6L4; Q6PI48; Q7L266; Q8N142; Q96HD9; Q9UJS0,Hypokalemia,,Others
485,L-Carnitine,DB00583,161.2,-1.81,1,3,60.36,4,Vitamin B Complex,O43772; O76082; P05164; P23141; P23786; P43155; P47989; P50416; Q8N8R3; Q9H015; Q9UKG9,Carnitine deficiency,,Others
486,L-Cysteine,DB00151,121.16,-0.67,3,3,63.32,2,Dietary Supplements,P16455; P17174; P32929; P35520; P48506; P48507; P48637; P49589; Q16878; Q9BZV2; Q9HA77; Q9Y600; Q9Y697,Amyloidosis,bronchiectasis; bronchitis; poisoning by acetaminophen; pulmonary cystic fibrosis,Respiratory
487,L-Glutamine,DB00130,146.15,-1.34,3,3,106.41,4,Dietary Supplements,P15104; P17812; Q06203,Short Bowel Syndrome,,Others
488,L-Serine,DB00133,105.09,-1.61,3,3,83.55,2,Dietary Supplements,O15269; O15270; P20132; P21549; P35520; P49591; Q9GZT4,Acute tuberculosis,"bacterial urinary infection; escherichia coli urinary tract infection; glaucoma, open-angle; tuberculosis, pulmonary",Infection
489,Labetalol,DB00598,328.41,2.14,4,4,95.58,8,Antihypertensive Agents,P07550; P08588,Hypertensive disease,,Others
490,Lactic Acid,DB04398,90.08,-0.55,2,2,57.53,1,,P09546; Q9RW27,Pruritus,,Others
491,Lactose,DB04465,342.3,-5.4,8,11,189.53,4,,P00722; Q7Z4J2; Q9NZD2,Lactose Intolerance,,Others
492,Lactulose,DB00581,342.3,-5.4,8,11,189.53,5,Gastrointestinal Agents,P06864,Constipation,hepatic encephalopathy; hyperammonemia,Liver
493,Lamivudine,DB00709,229.26,-0.59,2,6,90.37,2,Anti-HIV Agents,,HIV Infections,"hepatitis b, chronic",Infection
494,Lamotrigine,DB00555,256.1,2.01,2,5,90.71,1,Anticonvulsants,Q99250,Bipolar disorder in remission,epilepsy; epilepsy characterized by intractable complex partial seizures; lennox-gastaut syndrome; simple partial seizures; tonic - clonic seizures,Brain
495,Lanreotide,DB06791,1096.35,0.82,13,14,355.08,17,,,Acromegaly,hypersomatotropic gigantism,Others
496,Lansoprazole,DB00448,369.37,3.52,1,4,67.87,5,Enzyme Inhibitors,P20648,Duodenal Ulcer,erosive esophagitis; gastric ulcer; gastroesophageal reflux disease; peptic ulcer; zollinger-ellison syndrome,Stomach
497,Latanoprost,DB00654,432.6,4.19,3,5,86.99,13,,P43088,"Glaucoma, Open-Angle",ocular hypertension,Heart
498,Ledipasvir,DB09027,889.02,9.02,4,8,181.62,10,,,"Hepatitis C, Chronic",,Others
499,Leflunomide,DB01097,270.21,3.25,1,3,55.13,2,Antirheumatic Agents,P35869; Q02127; Q14289,"Arthritis, Psoriatic",rheumatoid arthritis,Arthritis
500,Lenalidomide,DB00480,259.26,0.03,2,4,92.5,1,Antineoplastic Agents,O14788; P33151; P35354; Q96SW2,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",multiple myeloma,Cancer
