Record_#,Drug_Name,DrugBank_ID,Molecular_Weight,LogP,Hydrogen_Bond_Donors,Hydrogen_Bond_Acceptors,TPSA,Rotatable_Bonds,Drug_Class,Target_Protein_UniProt,Current_Use,Repurposed_Use,Repurposed_Category
1,Abacavir,DB01048,286.34,1.09,3,6,101.88,4,Anti-HIV Agents,,HIV Infections,breast cancer,Cancer
2,Abiraterone,DB05812,349.52,5.4,1,2,33.12,1,,P05093,Malignant neoplasm of prostate,,Others
3,Acamprosate,DB00659,181.21,-0.6,2,3,83.47,4,Alcohol Deterrents,P41594,"Alcoholic Intoxication, Chronic",,Others
4,Acarbose,DB00284,645.61,-8.56,14,19,321.17,9,,O43451; P04746; P10253; P14410,"Diabetes Mellitus, Non-Insulin-Dependent",,Others
5,Acebutolol,DB01193,336.43,2.37,3,5,87.66,10,Antihypertensive Agents,P07550; P08588,Hypertensive disease,premature ventricular contractions,Others
6,Aceprometazine,DB01615,326.47,4.44,0,4,23.55,4,Hypnotics and Sedatives,P35367,Sleeplessness,,Others
7,Acetaminophen,DB00316,151.16,1.35,2,2,49.33,1,"Analgesics, Non-Narcotic",P23219; P35354,Allergic rhinitis (disorder),arthralgia; arthritic pains; back pain; common cold; fever; headache disorders; influenza-like symptoms; migraine disorders; pain; sinus headache; tension headache; toothache,Pain
8,Acetazolamide,DB00819,222.25,-0.86,2,6,115.04,2,Diuretics,P00915; P00918; P07451; P22748; P29972; P43166; Q9ULX7,Absence Epilepsy,"altitude sickness; angle closure glaucoma; edema; glaucoma, open-angle; malignant glaucoma; peripheral edema; secondary glaucoma",Eye
9,Acetohydroxamic Acid,DB00551,75.07,-0.49,2,2,49.33,0,Enzyme Inhibitors,P39900,Urinary tract infection,,Others
10,Acetophenazine,DB01063,411.57,3.49,1,6,47.02,7,Antipsychotic Agents,P14416; P21728,Psychotic Disorders,,Others
11,Acetylcysteine,DB06151,163.2,-0.49,3,3,66.4,3,Antiviral Agents,O14920; O15111; O15399; P48637; Q03154; Q05586; Q12879; Q13224; Q8TCU5; Q9UPY5,Amyloidosis,bronchiectasis; bronchitis; poisoning by acetaminophen; pulmonary cystic fibrosis,Respiratory
12,Acetylsalicylic acid,DB00945,180.16,1.31,1,3,63.6,2,Fibrinolytic Agents,O14920; P04637; P11021; P23219; P25101; P25963; P35354; P51812; Q04828,Arthralgia,arthritic pains; back pain; common cold; degenerative polyarthritis; headache disorders; influenza-like symptoms; migraine disorders; myocardial infarction; pain; rheumatoid arthritis; sinus headache; toothache,Heart
13,Aciclovir,DB00787,225.21,-1.33,3,6,119.05,4,Antiviral Agents,P03176; P04293,Chickenpox,genital herpes; herpes labialis; herpes simplex infections; herpes encephalitis; herpes simplex infection of skin; herpes zoster disease; recurrent genital herpes simplex; recurrent herpes simplex labialis,Infection
14,Acitretin,DB00459,326.44,5.17,1,2,46.53,6,Keratolytic Agents,P09455; P10276; P10826; P13631; P19793; P28702; P48443,Psoriasis,,Others
15,Aclidinium,DB08897,484.66,4.67,1,6,55.76,9,Muscarinic Antagonists,P08172; P08173; P08912; P11229; P20309,Chronic Obstructive Airway Disease,,Others
16,Acrivastine,DB09488,348.45,4.02,1,3,53.43,6,,,Allergic Conjunctivitis,"allergic rhinitis (disorder); common cold; hay fever; nasal congestion (finding); rhinitis, vasomotor; rhinorrhea; sneezing",Ear/Nose/Throat
17,Adapalene,DB00210,412.53,6.68,1,2,46.53,4,"Anti-Inflammatory Agents, Non-Steroidal",P10276; P10826; P13631; P19793; P28702; P48443,Acne Vulgaris,,Others
18,Adefovir Dipivoxil,DB00718,501.48,2.7,1,12,166.98,11,Antiviral Agents,,"Hepatitis B, Chronic",,Others
19,Adenosine,DB00640,267.25,-1.98,4,8,139.54,2,Anti-Arrhythmia Agents,P29274; P29275; P30542,Paroxysmal supraventricular tachycardia,pulmonary cystic fibrosis,Respiratory
20,Adenosine monophosphate,DB00131,347.22,-1.86,5,9,186.07,4,Dietary Supplements,O43741; P06737; P09467; P11309; P16220; P33121; P49773; P55263; Q07343; Q08499; Q08828; Q13131; Q9NR19; Q9NUB1; Q9Y478,Pulmonary Cystic Fibrosis,,Others
21,Afatinib,DB08916,485.95,4.39,2,7,88.61,8,,P00533; P04626; Q15303,Epidermal growth factor receptor positive non-small cell lung cancer,,Others
22,Agomelatine,DB06594,243.31,2.53,1,2,38.33,4,Antidepressive Agents,P28335; P48039; P49286,Major Depressive Disorder,,Others
23,Albendazole,DB00518,265.34,3.24,2,4,67.01,4,,P68371; P83223; Q71U36,Echinococcus granulosus infection,echinococcus granulosus infection of liver; echinococcus granulosus infection of lung; neurocysticercosis,Infection
24,Alclometasone,DB00240,408.92,2.02,3,5,94.83,2,Antipruritics,P04150,Chronic small plaque psoriasis,"contact dermatitis; dermatitis, atopic; exanthema; granuloma annulare; lichen simplex chronicus; lupus erythematosus, discoid; lymphoma, t-cell, cutaneous; pruritus ani; pruritus of genital organs; scalp psoriasis; seborrheic dermatitis",Skin
25,Alectinib,DB11363,482.63,4.77,1,5,72.36,3,,,Non-Small Cell Lung Carcinoma,,Others
26,Alendronate,DB00630,249.1,-1.27,6,4,161.31,5,Bone Density Conservation Agents,P14324; P23469; P29074; P38606; Q13332,Osteitis Deformans,"osteoporosis, postmenopausal",Bone
27,Alfacalcidol,DB01436,400.65,6.59,2,2,40.46,6,Bone Density Conservation Agents,O15528; P11473,Hyperparathyroidism,hypoparathyroidism; neonatal hypocalcemia; renal osteodystrophy,Kidney
28,Alfuzosin,DB00346,389.46,1.35,2,8,111.83,8,Antihypertensive Agents,P25100; P35348; P35368; Q12809,Prostatic Hypertrophy,,Others
29,Aliskiren,DB09026,551.77,3.29,4,7,146.13,19,,,Hypertensive disease,,Others
30,Allopurinol,DB00437,136.11,-0.4,2,3,74.43,0,Gout Suppressants,P47989,"Arthritis, Gouty",calcium renal calculus; gout; hyperuricemia; uric acid renal calculus,Arthritis
31,Almitrine,DB01430,477.56,4.26,2,7,69.21,10,Respiratory System Agents,P05023,Chronic Obstructive Airway Disease,,Others
32,Almotriptan,DB00918,335.47,2.2,1,3,56.41,6,Serotonin Antagonists,P28221; P28222,Migraine Disorders,,Others
33,Alosetron,DB00969,294.36,2.41,1,2,53.92,2,,P46098,Diarrhoea predominant irritable bowel syndrome,irritable bowel syndrome with diarrhea,Stomach
34,Alprazolam,DB00404,308.77,3.58,0,3,43.07,1,Anti-Anxiety Agents,,Anxiety,generalized anxiety disorder; mixed anxiety and depressive disorder; panic disorder,Mental Health
35,Alprostadil,DB00770,354.49,3.48,3,4,94.83,13,,P34995; P43116,Aortic coarctation,congenital atresia of pulmonary valve; erectile dysfunction; tetralogy of fallot; tricuspid atresia,Respiratory
36,Alvimopan,DB06274,424.54,3.05,3,4,89.87,8,,P35372; P41143; P41145,Postoperative ileus,,Others
37,Ambenonium,DB01122,537.58,4.64,2,2,58.2,14,Anti-Arrhythmia Agents,P22303,Myasthenia Gravis,,Others
38,Ambrisentan,DB06403,378.43,3.52,1,5,81.54,7,,,Pulmonary arterial hypertension,,Others
39,Amcinonide,DB00288,502.58,3.52,1,7,99.13,3,Glucocorticoids,P04083; P04150,Chronic small plaque psoriasis,"contact dermatitis; dermatitis, atopic; exanthema; granuloma annulare; lichen simplex chronicus; lupus erythematosus, discoid; lymphoma, t-cell, cutaneous; pruritus ani; pruritus of genital organs; scalp psoriasis; seborrheic dermatitis",Skin
40,Amikacin,DB00479,585.61,-8.42,13,17,331.94,10,Anti-Bacterial Agents,P0A7S3,Arthropathy associated with infection,"bacterial infection due to klebsiella pneumoniae; bacterial meningitis due to gram-negative bacteria; bacterial sepsis; cholangitis; diverticulitis of gastrointestinal tract; enterobacter pneumonia; enterobacteriaceae infections; escherichia coli infections; escherichia coli septicemia; infection due to pseudomonas aeruginosa; infection of bone; infection of skin and/or subcutaneous tissue; intraabdominal infections; klebsiella sepsis; meningitis due to klebsiella mobilis; meningitis, bacterial; meningitis, escherichia coli; neonatal meningitis; neonatal pneumonia; nosocomial pneumonia; osteomyelitis; pneumonia due to escherichia coli; pneumonia due to gram negative bacteria; pneumonia due to pseudomonas; pneumonia, bacterial; proteus meningitis; proteus pneumonia; proteus septicemia; pseudomonas aeruginosa meningitis; rhinoscleroma; sepsis due to gram negative bacteria; sepsis due to pseudomonas; sepsis of the newborn; serratia infections; serratia sepsis; staphylococcal pneumonia; staphylococcal bacteraemia; staphylococcal meningitis",Infection
41,Amiloride,DB00594,229.63,-1.29,4,5,159.29,1,Diuretics,P00749; P19634; P19801; P37088; P51168; P51170; P51172; P78348; Q16515,Edema,hypertensive disease,Others
42,Aminoglutethimide,DB00357,232.28,1.35,2,3,72.19,2,"Antineoplastic Agents, Hormonal",P05108; P11511,Secondary malignant neoplasm of female breast,,Others
43,Aminolevulinic acid,DB00855,131.13,-0.62,2,3,80.39,4,Photosensitizing Agents,P13716,Actinic keratosis,,Others
44,Aminosalicylic Acid,DB00233,153.14,0.67,3,3,83.55,1,Antitubercular Agents,O15111; P09917; P35354; Q9NZK7,Acute tuberculosis,"tuberculosis, pulmonary",Infection
45,Amisulpride,DB06288,369.49,1.29,2,6,101.73,7,Antipsychotic Agents,P14416; P28223; P34969; P35462,Chronic schizophrenia,,Others
46,Amlexanox,DB01025,298.3,2.75,2,5,106.42,2,Anti-Allergic Agents,P05230; P08700; P80511; Q99584,Aphthous Stomatitis,,Others
47,Ammonium lactate,DB06768,107.11,-1.51,2,3,96.86,1,Antipruritics,,Contact Dermatitis,"dermatitis, atopic; dry skin; exanthema; granuloma annulare; pruritus; pruritus ani; pruritus of genital organs; seborrheic dermatitis",Skin
48,Amoxicillin,DB01060,365.41,0.02,4,6,132.96,4,Anti-Bacterial Agents,,Acute bacterial sinusitis,"acute exacerbation of chronic bronchitis; acute otitis media; bacterial urinary infection; escherichia coli infections; escherichia coli urinary tract infection; genitourinary tract infection; haemophilus influenzae pneumonia; haemophilus parainfluenzae pneumonia; helicobacter-associated gastritis; infection of skin and/or subcutaneous tissue; infective otitis media; klebsiella cystitis; lower respiratory tract infection; moraxella catarrhalis pneumonia; pharyngitis; pneumonia due to klebsiella pneumoniae; pneumonia due to staphylococcus aureus; pneumonia, bacterial; rhinoscleroma; staphylococcal pharyngitis; staphylococcal tonsillitis; staphylococcus aureus infection; streptococcal pneumonia; streptococcal tonsillitis; urinary tract infection; pharyngitis due to haemophilus influenzae",Infection
49,Amphotericin B,DB00681,924.09,0.71,12,17,319.61,3,Antifungal Agents,,Acne Vulgaris,"actinomycosis; acute gonococcal cervicitis; acute gonococcal urethritis; aspergillosis; blastomycosis; bronchitis; brucellosis; candidal endocarditis; candidal meningitis; candidemia; candidiasis; candidiasis of the esophagus; chlamydia trachomatis infection of genital structure; coccidioidomycosis; cutaneous candidiasis; diaper rash; disseminated sporotrichosis; fungal infection of lung; fungal septicemia; gingivostomatitis; gonorrhea; gonorrhea of pharynx; gonorrhea of rectum; granuloma inguinale; histoplasmosis; infection by cryptococcus neoformans; infection of skin and/or subcutaneous tissue; infective otitis media; intraabdominal infections; invasive pulmonary aspergillosis; leishmaniasis; leishmaniasis, visceral; lymphogranuloma venereum; meningitis, fungal; mucormycosis; mycotic endocarditis; oral candidiasis; pelvic inflammatory disease; pharyngitis; pneumonia; psittacosis; pulmonary cryptococcosis; q fever; relapsing fever; rhinocerebral phycomycosis; rickettsialpox; rocky mountain spotted fever; septicemia candida; sinusitis; syphilis; systemic candidiasis; typhus; trachoma; urinary tract infection; urinary tract infection fungal; yaws; candidal peritonitis",Respiratory
50,Ampicillin,DB00415,349.41,0.32,3,5,112.73,4,Anti-Bacterial Agents,P0A3M6; Q75Y35; Q7CRA4; Q8DNB6; Q8DR59,Acute bacterial epiglottitis,"acute bacterial sinusitis; acute epiglottitis; acute exacerbation of chronic bronchitis; acute gonococcal cervicitis; acute gonococcal endometritis; acute gonococcal urethritis; acute otitis media; bacterial endocarditis; bacterial peritonitis; bacterial sepsis; cholangitis; dysentery; enterobacteriaceae infections; escherichia coli infections; escherichia coli septicemia; female genital tract infection; genitourinary tract infection; gonorrhea; gonorrhea of rectum; haemophilus influenzae pneumonia; infection of skin and/or subcutaneous tissue; infective otitis media; intraabdominal infections; meningitis, bacterial; meningitis, escherichia coli; meningitis, pneumococcal; meningococcal meningitis; paratyphoid fever; pelvic inflammatory disease; pharyngitis; pneumococcal pharyngitis; pneumonia, bacterial; proteus septicemia; proteus urinary tract infection; rhinoscleroma; salmonella sepsis; sepsis due to staphylococcus aureus; septicemia due to enterococcus; shigella infections; sinusitis; staphylococcal pneumonia; staphylococcal endocarditis; staphylococcus aureus infection; streptococcal endocarditis; streptococcal pneumonia; streptococcal sepsis; streptococcal tonsillitis; urinary tract infection enterococcus; urinary tract infection; pharyngitis due to haemophilus influenzae",Ear/Nose/Throat
51,Amprenavir,DB00701,505.64,2.4,3,7,131.19,11,Anti-HIV Agents,,HIV Infections,,Others
52,Amrinone,DB01427,187.2,1.02,2,3,71.77,1,Cardiotonic Agents,P01375; Q07343; Q14432,Decompensated cardiac failure,,Others
53,Anagrelide,DB00261,256.09,1.93,1,3,44.7,0,Antithrombins,Q14432,"Thrombocythemia, Essential",,Others
54,Anidulafungin,DB00362,1140.25,-0.93,14,17,377.42,14,Antifungal Agents,A2QLK4,Candidemia,candidiasis of the esophagus; candidal peritonitis,Others
55,Apixaban,DB06605,459.51,2.7,1,5,110.76,5,,P00742,Arterial embolus and thrombosis,,Others
56,Apomorphine,DB00714,267.33,2.85,2,3,43.7,0,Antiparkinson Agents,P08908; P08913; P14416; P18089; P18825; P21728; P21917; P21918; P28221; P28222; P28223; P28335; P35462; P41595; Q9NYX4,Parkinson Disease,,Others
57,Apremilast,DB05676,460.51,3.08,1,7,122.57,8,,,"Arthritis, Psoriatic",chronic small plaque psoriasis,Skin
58,Aprepitant,DB00673,534.43,4.95,2,5,83.24,6,,P25103,Chemotherapy-induced nausea and vomiting,,Others
59,Aranidipine,DB09229,388.38,2.13,1,8,124.84,6,,,Hypertensive disease,,Others
60,Arformoterol,DB01274,344.41,2.22,4,5,90.82,9,Adrenergic beta-2 Receptor Agonists,P07550,"Bronchitis, Chronic",chronic obstructive airway disease; pulmonary emphysema,Respiratory
61,Argatroban,DB00278,508.65,0.7,5,6,180.21,9,,P00734,Heparin-induced thrombocytopenia with thrombosis,,Others
62,Aripiprazole,DB01238,448.39,4.86,1,4,44.81,7,Antipsychotic Agents,P08172; P08173; P08908; P08912; P08913; P11229; P14416; P18089; P18825; P20309; P21728; P21917; P21918; P28221; P28222; P28223; P28335; P28566; P34969; P35348; P35367; P35368; P35462; P46098; P50406,Autistic Disorder,"bipolar affective disorder, current episode manic; bipolar disorder in remission; mixed bipolar i disorder; schizophrenia",Mental Health
63,Armodafinil,DB06413,273.36,2.01,1,2,60.16,5,,,Narcolepsy,,Others
64,Artesunate,DB09274,384.43,2.6,1,7,100.52,4,,,"Malaria, Falciparum",,Others
65,Ataluren,DB05016,284.25,3.24,1,4,76.22,3,,,"Muscular Dystrophy, Duchenne",,Others
66,Atazanavir,DB01072,704.87,4.21,5,9,171.22,14,Anti-HIV Agents,,HIV Infections,,Others
67,Atenolol,DB00335,266.34,0.45,3,4,84.58,8,Antihypertensive Agents,P07550; P08588,Angina Pectoris,hypertensive disease; myocardial infarction,Heart
68,Atorvastatin,DB01076,557.64,4.98,3,5,114.62,12,Anticholesteremic Agents,P04035; P27487; P35869,Angina Pectoris,"angina pectoris, variant; arteriosclerosis; cerebrovascular accident; familial hypercholesterolemia - heterozygous; familial hypercholesterolemia - homozygous; hypercholesterolemia; hyperlipidemia, familial combined; hyperlipoproteinemia type iii; hypertensive disease; hypertriglyceridemia",Metabolic
69,Atovaquone,DB01117,366.84,5.51,1,3,54.37,2,,Q02127; Q02768; Q08210,"Malaria, Falciparum",,Others
70,Avanafil,DB06237,483.96,2.43,3,9,125.39,9,,O76074,Erectile dysfunction,,Others
71,Avibactam,DB09060,287.23,-4.86,1,6,133.07,3,,,Intraabdominal Infections,pyelonephritis,Kidney
72,Azathioprine,DB00993,277.27,1.15,1,7,115.42,3,Antirheumatic Agents,P00492,Rheumatoid Arthritis,,Others
73,Azelnidipine,DB09230,582.66,4.69,2,9,137.03,9,,,Hypertensive disease,,Others
74,Azidocillin,DB08795,375.41,1.67,2,5,135.47,5,Anti-Bacterial Agents,P0A3M6; Q75Y35; Q7CRA4; Q8DNB6; Q8DR59,Respiratory Tract Infections,,Others
75,Azilsartan medoxomil,DB08822,568.54,4.71,1,10,155.59,9,Angiotensin Receptor Antagonists,P30556,Hypertensive disease,,Others
76,Azithromycin,DB00207,749.0,1.9,5,14,180.08,7,Anti-Bacterial Agents,P60725; P61177,Acute bacterial bronchitis,"acute bacterial sinusitis; acute exacerbation of chronic bronchitis; acute gonococcal cervicitis; acute gonococcal urethritis; bacterial conjunctivitis; chancroids; chlamydial cervicitis; chlamydial pelvic inflammatory disease; chlamydial pneumonia; chlamydial urethritis; haemophilus influenzae pneumonia; infective otitis media; legionella pneumophila pneumonia; moraxella catarrhalis pneumonia; mycoplasma pneumonia; pelvic inflammatory disease due to mycoplasma hominis; pneumonia due to staphylococcus aureus; pneumonia, bacterial; pulmonary mycobacterium avium complex infection; staphylococcus aureus infection; streptococcal pneumonia; streptococcal tonsillitis; streptococcus pyogenes infection",Ear/Nose/Throat
77,Azlocillin,DB01061,461.5,0.09,4,6,148.15,5,Anti-Bacterial Agents,,Arthropathy associated with infection,aspiration pneumonia; bacterial infection due to klebsiella pneumoniae; bacterial sepsis; enterobacter pneumonia; haemophilus influenzae pneumonia; infection of bone; infection of skin and/or subcutaneous tissue; pneumonia due to escherichia coli; pneumonia due to pseudomonas; serratia infections; urinary tract infection,Infection
78,Aztreonam,DB00355,435.44,-2.22,3,10,206.03,7,Anti-Bacterial Agents,P42971,Bacterial infection due to Klebsiella pneumoniae,bacterial peritonitis; bacterial urinary infection; endometritis; enterobacter pneumonia; enterobacteriaceae infections; escherichia coli infections; escherichia coli septicemia; escherichia coli urinary tract infection; female genital tract infection; haemophilus influenzae pneumonia; infection due to pseudomonas aeruginosa; infection of skin and/or subcutaneous tissue; intraabdominal infections; klebsiella cystitis; lower respiratory tract infection; pelvic inflammatory disease; peritonitis; pneumonia due to escherichia coli; pneumonia due to pseudomonas; proteus pneumonia; proteus septicemia; proteus urinary tract infection; rhinoscleroma; sepsis due to gram negative bacteria; sepsis due to pseudomonas; serratia infections; serratia sepsis; urinary tract infection citrobacter; urinary tract infection,Infection
79,Bacampicillin,DB01602,465.53,1.3,2,9,137.26,7,Penicillins,,Gonorrhea,haemophilus influenzae pneumonia; infection of skin and/or subcutaneous tissue; infective otitis media; pharyngitis; sinusitis; urinary tract infection,Ear/Nose/Throat
80,Bacitracin,DB00626,1422.72,-1.68,17,19,530.87,31,,P01023; P14735,Bacterial keratitis,blepharoconjunctivitis; corneal abrasion; infective blepharitis; keratitis,Eye
81,Baclofen,DB00181,213.66,1.86,2,2,63.32,4,Neuromuscular Agents,O75899; Q9UBS5,Muscle spasticity of spinal origin,,Others
82,Balsalazide,DB01014,357.32,2.71,4,6,148.65,7,"Anti-Inflammatory Agents, Non-Steroidal",P09917; P23219; P35354; P37231,Ulcerative Colitis,,Others
83,Bazedoxifene,DB06401,470.61,6.33,2,4,57.86,7,,,Hot flushes,"osteoporosis, postmenopausal",Bone
84,Beclomethasone,DB00394,521.05,4.09,1,7,106.97,6,Anti-Arrhythmia Agents,P04150,Allergic rhinitis (disorder),"asthma; nasal polyps; rhinitis; rhinitis, vasomotor",Respiratory
85,Bedaquiline,DB08903,555.52,7.13,1,4,45.59,8,Antitubercular Agents,,"Tuberculosis, Drug-Resistant","tuberculosis, pulmonary",Infection
86,Benazepril,DB00542,424.5,2.57,2,5,95.94,9,Angiotensin-Converting Enzyme Inhibitors,P12821,Hypertensive disease,,Others
87,Bendamustine,DB06769,358.27,3.26,1,3,58.36,9,,,Chronic Lymphocytic Leukemia,"lymphoma, follicular",Cancer
88,Bendroflumethiazide,DB00436,421.42,1.63,3,5,118.36,3,Antihypertensive Agents,P00915; P00918; P22748; P55017; Q12791,Hypertensive disease,,Others
89,Benzathine benzylpenicillin,DB09323,909.14,-0.43,4,10,212.3,15,,,Erysipelas,scarlet fever; streptococcal infections; streptococcal pneumonia; streptococcus pyogenes infection,Respiratory
90,Benzyl alcohol,DB06770,108.14,1.18,1,1,20.23,1,"Anesthetics, Local",,Pruritus,skin irritation,Skin
91,Benzylpenicillin,DB01053,334.4,0.86,2,4,86.71,4,Anti-Bacterial Agents,Q2FGH1,Abdominal actinomycosis,"actinomycosis; acute otitis media; anthrax disease; anthrax sepsis; bacterial endocarditis; bejel; botulism; cervicofacial actinomycosis; cutaneous anthrax; early latent syphilis, positive serology, negative cerebrospinal fluid, less than 2 years after infection; erysipelas; fusospirochetal pharyngitis; gonococcal infection disseminated; gas gangrene caused by clostridium perfringens; gastrointestinal anthrax; gingivostomatitis; gonococcal joint infection; granulomatosis infantiseptica; infection by pasteurella multocida; infection due to erysipelothrix rhusiopathiae (disorder); infection of skin and/or subcutaneous tissue; infective otitis media; inhalational anthrax; late latent syphilis; latent yaws; listerial endocarditis; lung abscess; meningitis, listeria; meningitis, pneumococcal; meningococcal meningitis; meningococcemia; neonatal meningitis; neonatal pneumonia; neurosyphilis; pasteurella infections; pharyngitis; pinta; pneumonia, necrotizing; primary genital syphilis; pulmonary actinomycosis; rat-bite fever; scarlet fever; sepsis of the newborn; septicemia due to enterococcus; staphylococcus aureus infection; streptococcal infections; streptococcal endocarditis; streptococcal meningitis; streptococcal pneumonia; streptococcal tonsillitis; streptococcal toxic shock syndrome; streptococcus pyogenes infection; syphilis; syphilis, congenital; syphilis, latent; syphilis, secondary; syphilis, tertiary; tertiary lesion of yaws; tetanus; upper respiratory infections; yaws",Ear/Nose/Throat
92,Bepotastine,DB04890,388.9,4.17,1,4,62.66,8,Mast Cell Stabilizers,P35367,Allergic Conjunctivitis,,Others
93,Besifloxacin,DB06771,393.85,3.14,2,4,88.56,3,Quinolones,P43700; P43702,Bacterial conjunctivitis,,Others
94,Betamethasone,DB00443,392.47,1.9,3,5,94.83,2,Anti-Asthmatic Agents,P04150,Acquired thrombocytopenia,"acute lymphocytic leukemia; addison disease; addisonian crisis; adrenal cortical hypofunction; adrenogenital disorder; allergic rhinitis (disorder); anemia, diamond-blackfan; angioedema; ankylosing spondylitis; arthritis, gouty; arthritis, psoriatic; aspiration pneumonitis; asthma; autoimmune diseases; autoimmune hemolytic anemia; berylliosis; bursitis; cerebral edema; chronic small plaque psoriasis; congenital adrenal hyperplasia; contact dermatitis; cooley's anemia; crohn disease; dermatitis herpetiformis; dermatitis, atopic; dermatologic disorders; disorder of eye; epicondylitis; erythema multiforme; exanthema; exfoliative dermatitis; granuloma annulare; hodgkin disease; humoral hypercalcemia of malignancy (disorder); inflammatory bowel diseases; laryngeal edema; lichen simplex chronicus; lupus erythematosus, discoid; lupus erythematosus, systemic; lymphoma, follicular; lymphoma, non-hodgkin; lymphoma, t-cell, cutaneous; multiple sclerosis; musculoskeletal diseases; mycosis fungoides; nephrotic syndrome; pemphigus; post traumatic osteoarthritis; pruritus ani; pruritus of genital organs; psoriasis; rheumatic heart disease; rheumatoid arthritis; sarcoidosis; scalp dermatoses; scalp psoriasis; seborrheic dermatitis; serum sickness; simple pulmonary eosinophilia; status asthmaticus; synovitis; tendinitis; tenosynovitis; thyroiditis; tinea pedis; tinea corporis (disorder); tinea cruris; transplanted organ rejection; trichinellosis; tuberculosis, miliary",Arthritis
95,Betaxolol,DB00195,307.43,2.39,2,4,50.72,11,Antihypertensive Agents,P07550; P08588,"Glaucoma, Open-Angle",hypertensive disease; ocular hypertension,Heart
96,Bezafibrate,DB01393,361.83,3.55,2,3,75.63,7,Hypolipidemic Agents,P37231; Q03181; Q07869,Hypercholesterolemia,hyperlipidemia,Metabolic
97,Bicalutamide,DB01128,430.38,2.88,2,5,107.26,5,,P10275,Metastatic Prostate Carcinoma,,Others
98,Bimatoprost,DB00905,415.57,3.15,4,4,89.79,12,Anti-glaucoma Agents,P34995; P42330; P43088; P43115,"Glaucoma, Open-Angle",hypertrichosis of eyelid; ocular hypertension,Eye
99,Biotin,DB00121,244.32,0.8,3,3,78.43,5,Vitamin B Complex,O00763; P05165; P05166; P11498; P50747; Q13085; Q96RQ3; Q9HCC0; Q9Y289,Biotin deficiency disease,,Others
100,Biperiden,DB00810,311.47,3.96,1,2,23.47,5,Antiparkinson Agents,P11229; Q15822,Extrapyramidal Disorders,"parkinson disease; parkinson disease, postencephalitic; parkinsonian disorders",Brain
101,Bismuth Subsalicylate,DB01294,362.09,0.21,1,4,55.76,0,Antidiarrheals,,Diarrhea,dyspepsia,Others
102,Bisoprolol,DB00612,325.45,2.37,2,5,59.95,12,Antihypertensive Agents,P07550; P08588,Hypertensive disease,,Others
103,Bleomycin,DB00290,1415.58,-7.7,20,31,627.07,35,"Antibiotics, Antineoplastic",P18858; P49916,Cancer of Head and Neck,"diffuse large b-cell lymphoma; figo stage finding for vulvar carcinoma; hodgkin disease; lymphoma, follicular; lymphoma, non-hodgkin; malignant neoplasm of penis; malignant tumor of cervix; pleural effusion, malignant; squamous cell carcinoma; testicular germ cell tumor",Cancer
104,Boceprevir,DB08873,519.69,1.71,4,5,150.7,8,,,"Hepatitis C, Chronic",,Others
105,Bortezomib,DB00188,384.25,0.36,4,6,124.44,9,,P20618; P28074; P49721; Q13200; Q99460,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",multiple myeloma,Cancer
106,Bosentan,DB00559,551.63,4.2,2,10,145.65,10,Antihypertensive Agents,P24530; P25101,Pulmonary Hypertension,pulmonary arterial hypertension; scleroderma,Heart
107,Bosutinib,DB06616,530.46,5.19,1,8,82.88,9,,P00519; P07948; P08631; P11274; P12931; P24941; P36507; Q02750; Q13555; Q9Y2U5,Blast Phase,"leukemia, myeloid, accelerated phase",Cancer
108,Brexpiprazole,DB09128,433.58,4.72,1,5,48.57,7,,,Major Depressive Disorder,schizophrenia,Mental Health
109,Brinzolamide,DB01194,383.52,0.09,2,7,118.8,7,Anti-glaucoma Agents,P00915; P00918; P22748; P35218,"Glaucoma, Open-Angle",ocular hypertension,Heart
110,Bromfenac,DB00963,334.17,2.89,2,3,80.39,4,,P23219; P35354,Pain,,Others
111,Bromocriptine,DB01200,654.61,3.19,3,6,118.21,5,Hormone Antagonists,P08908; P08913; P14416; P18089; P18825; P21728; P21917; P21918; P25100; P28221; P28222; P28223; P28335; P34969; P35348; P35368; P35462; P41595,Acromegaly,"hyperprolactinemia; parkinson disease; parkinson disease, postencephalitic",Brain
112,Budesonide,DB01222,430.54,2.72,2,6,93.06,4,Corticosteroids,P04150,Allergic rhinitis (disorder),asthma; crohn disease; crohn's disease in remission,Respiratory
113,Bumetanide,DB00887,364.42,3.04,3,5,118.72,8,Diuretics,P13569; P55011; Q13621; Q9H2X9; Q9UP95,Edema,renal disease with edema nos,Kidney
114,Bupivacaine,DB00297,288.44,3.9,1,2,32.34,5,"Anesthetics, Local",P34995; Q9Y5Y9,Pruritus,skin irritation,Skin
115,Bupranolol,DB08808,271.79,2.78,2,3,41.49,5,Antihypertensive Agents,P07550; P08588; P13945,Glaucoma,hypertensive disease,Others
116,Buprenorphine,DB00921,467.65,4.41,2,5,62.16,4,"Analgesics, Opioid",P35372; P41143; P41145,Acute postoperative pain,chronic pain; opiate addiction; severe pain,Pain
117,Bupropion,DB01156,239.75,3.3,1,2,29.1,3,"Antidepressive Agents, Second-Generation",P23975; P32297; Q01959,Depressive disorder,major depressive disorder; nicotine dependence; obesity; seasonal affective disorder,Mental Health
